"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"MCR10ERTJ202","Rohm Semiconductor","RHM2KCPCT-ND","","","Cut Tape (CT)","Discontinued at Digi-Key","1","0.15000","$0.15","10","Not Available","RES SMD 2K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"SN74HCT541DWR","Texas Instruments","296-14870-1-ND","controller decoder","","Cut Tape (CT)","Active","2","0.73000","$1.46","1605","6 Weeks","IC BUF NON-INVERT 5.5V 20SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"MM74HCT05MX","ON Semiconductor","MM74HCT05MXCT-ND","","","Cut Tape (CT)","Active","1","0.93000","$0.93","234","14 Weeks","IC INVERTER 6CH 6-INP 14SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"4608X-101-223LF","Bourns Inc.","4608X-1-223LF-ND","controller resistor arrays","","Bulk","Active","2","0.87000","$1.74","5945","14 Weeks","RES ARRAY 7 RES 22K OHM 8SIP","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805JT1K80","Stackpole Electronics Inc","RMCF0805JT1K80CT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","90000","17 Weeks","RES 1.8K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"74HCT00D,653","Nexperia USA Inc.","1727-2828-1-ND","","","Cut Tape (CT)","Active","1","0.56000","$0.56","7687","4 Weeks","IC GATE NAND 4CH 2-INP 14SO","ROHS3 Compliant","Lead free","REACH Unaffected"
"CC0805KRX7R9BB473","Yageo","311-1431-1-ND","","","Cut Tape (CT)","Active","2","0.20000","$0.40","52589","33 Weeks","CAP CER 0.047UF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C101JAGAC7800","KEMET","399-15000-1-ND","","","Cut Tape (CT)","Active","2","0.14000","$0.28","100331","8 Weeks","CAP CER 100PF 250V C0G/NP0 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"C0805C103K1RAC7210","KEMET","399-17617-1-ND","10nF","","Cut Tape (CT)","Active","4","0.14000","$0.56","53668","8 Weeks","CAP CER SMD 0805 .01UF 100V X7R","ROHS3 Compliant","Lead free","REACH Unaffected"
"1N4001-G","Comchip Technology","641-1310-1-ND","","","Cut Tape (CT)","Active","2","0.14000","$0.28","72045","10 Weeks","DIODE GEN PURP 50V 1A DO41","ROHS3 Compliant","Lead free","REACH Unaffected"
"MCR10ERTJ152","Rohm Semiconductor","RHM1.5KCPCT-ND","","","Cut Tape (CT)","Discontinued at Digi-Key","3","0.15000","$0.45","20","Not Available","RES SMD 1.5K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805JT100K","Stackpole Electronics Inc","RMCF0805JT100KCT-ND","","","Cut Tape (CT)","Active","2","0.15000","$0.30","544350","17 Weeks","RES 100K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"RMCF0805JT120R","Stackpole Electronics Inc","RMCF0805JT120RCT-ND","","","Cut Tape (CT)","Active","1","0.15000","$0.15","115014","17 Weeks","RES 120 OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
