"Customer Reference","Component Name","Value","Footprint","Part Number","Quantity","Description"
"U6, U7, U8","74LS574","74HCT574","Housings_SOIC:SOIC-20W_7.5x12.8mm_Pitch1.27mm","1727-2856-1-ND","3","8-bit Register, 3-state outputs"
"U10","SN76489AN","SN76489AN","Housings_DIP:DIP-16_W7.62mm_Socket_LongPads","AE9992-ND","1",""
"U12","74LS138","74LS138 (Mem. Mapped)","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","296-14883-2-ND","1","Decoder 3 to 8 active low outputs"
"U13","74LS138","74LS138 (I/O)","Housings_SOIC:SOIC-16_3.9x9.9mm_Pitch1.27mm","296-14883-2-ND","1","Decoder 3 to 8 active low outputs"
"U14","74LS02","74LS02","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","296-14874-1-ND","1","quad 2-input NOR gate"
"U15","74LS541","74LS541 (Ctrl. 2)","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","296-14870-1-ND","1","8-bit Buffer/Line Driver 3-state outputs"
"U16","74LS541","74LS541 (Ctrl. 1)","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","296-14870-1-ND","1","8-bit Buffer/Line Driver 3-state outputs"
"U17, U18","74LS05","74LS05","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","296-1630-1-ND","2","Inverter Open Collect"
"U20, U22","74LS74","74LS74","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","296-14899-1-ND","2","Dual D Flip-flop, Set & Reset"
"U23","74HCT00","74HCT00","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm","296-14542-1-ND","1","quad 2-input NAND gate"
"U100, U101","AS6C62256-DIP","AS6C62256-DIP","Housings_DIP:DIP-28_W15.24mm_Socket_LongPads","1450-1033-ND","2",""
"X1","CXO_DIP8","14.31818MHz","Oscillators:Oscillator_DIP-8_LargePads","535-9170-5-ND","1","Crystal Clock Oscillator, DIP8-style metal package"
"Y1","Crystal","10.738635MHZ","Crystals:Crystal_HC49-U_Vertical","CTX1443-ND","1","Two pin crystal"
